Topic,Subcategory,Date,Inquiries
Attractions,Indoor,1/1/2024,266
Attractions,Indoor,2/1/2024,7580
Attractions,Indoor,3/1/2024,3593
Attractions,Indoor,4/1/2024,6982
Attractions,Indoor,5/1/2024,8408
Attractions,Indoor,6/1/2024,9097
Attractions,Indoor,7/1/2024,4190
Attractions,Indoor,8/1/2024,8633
Attractions,Indoor,9/1/2024,3955
Attractions,Indoor,10/1/2024,2483
Attractions,Indoor,11/1/2024,5421
Attractions,Indoor,12/1/2024,6418
Attractions,Indoor,13/1/2024,124
Attractions,Indoor,14/1/2024,205
Attractions,Indoor,15/1/2024,2753
Attractions,Indoor,16/1/2024,3456
Attractions,Indoor,17/1/2024,2489
Attractions,Indoor,18/1/2024,7250
Attractions,Indoor,19/1/2024,8281
Attractions,Indoor,20/1/2024,4061
Attractions,Indoor,21/1/2024,732
Attractions,Indoor,22/1/2024,8379
Attractions,Indoor,23/1/2024,9580
Attractions,Indoor,24/1/2024,1542
Attractions,Indoor,25/1/2024,9319
Attractions,Indoor,26/1/2024,1314
Attractions,Indoor,27/1/2024,2693
Attractions,Indoor,28/1/2024,6971
Attractions,Indoor,29/1/2024,2774
Attractions,Indoor,30/1/2024,5009
Attractions,Indoor,31/1/2024,6611
Attractions,Indoor,1/2/2024,1284
Attractions,Indoor,2/2/2024,569
Attractions,Indoor,3/2/2024,319
Attractions,Indoor,4/2/2024,2013
Attractions,Indoor,5/2/2024,7165
Attractions,Indoor,6/2/2024,2218
Attractions,Indoor,7/2/2024,5355
Attractions,Indoor,8/2/2024,8526
Attractions,Indoor,9/2/2024,754
Attractions,Indoor,10/2/2024,2051
Attractions,Indoor,11/2/2024,3553
Attractions,Indoor,12/2/2024,7308
Attractions,Indoor,13/2/2024,7757
Attractions,Indoor,14/2/2024,2399
Attractions,Indoor,15/2/2024,933
Attractions,Indoor,16/2/2024,7811
Attractions,Indoor,17/2/2024,2856
Attractions,Indoor,18/2/2024,8078
Attractions,Indoor,19/2/2024,6904
Attractions,Indoor,20/2/2024,3013
Attractions,Indoor,21/2/2024,5519
Attractions,Indoor,22/2/2024,6442
Attractions,Indoor,23/2/2024,1756
Attractions,Indoor,24/2/2024,10068
Attractions,Indoor,25/2/2024,10525
Attractions,Indoor,26/2/2024,3099
Attractions,Indoor,27/2/2024,7893
Attractions,Indoor,28/2/2024,6071
Attractions,Indoor,29/2/2024,2532
Attractions,Indoor,1/3/2024,864
Attractions,Indoor,2/3/2024,8225
Attractions,Indoor,3/3/2024,2477
Attractions,Indoor,4/3/2024,1076
Attractions,Indoor,5/3/2024,5926
Attractions,Indoor,6/3/2024,648
Attractions,Indoor,7/3/2024,2496
Attractions,Indoor,8/3/2024,3921
Attractions,Indoor,9/3/2024,1460
Attractions,Indoor,10/3/2024,5344
Attractions,Indoor,11/3/2024,6408
Attractions,Indoor,12/3/2024,7804
Attractions,Indoor,13/3/2024,2604
Attractions,Indoor,14/3/2024,3679
Attractions,Indoor,15/3/2024,4987
Attractions,Indoor,16/3/2024,10597
Attractions,Indoor,17/3/2024,4023
Attractions,Indoor,18/3/2024,4582
Attractions,Indoor,19/3/2024,5573
Attractions,Indoor,20/3/2024,8551
Attractions,Indoor,21/3/2024,5610
Attractions,Indoor,22/3/2024,936
Attractions,Indoor,23/3/2024,9832
Attractions,Indoor,24/3/2024,11362
Attractions,Indoor,25/3/2024,2058
Attractions,Indoor,26/3/2024,1011
Attractions,Indoor,27/3/2024,5901
